eid,recovered_doi,doi_url,title,source,match_method,title_sim,year_diff
2-s2.0-105027921914,10.71846/18-wcee-2566,https://doi.org/10.71846/18-wcee-2566,SEISMIC RESPONSE OF THE CABLE-SUPPORTED GLASS FACADES BETWEEN ADJACENT STRUCTURES,World Conference on Earthquake Engineering Proceedings,enriched_oa,1.0,1
2-s2.0-85217173823,10.23919/annsim61499.2024.10732831,https://doi.org/10.23919/annsim61499.2024.10732831,DESIGNING FOR DAYLIGHT: AN EXPLORATION OF ORIGAMI-INSPIRED INTERIOR SHADING SCREENS,Simulation Series,enriched_oa,1.0,0
2-s2.0-105027925874,10.71846/18-wcee-2656,https://doi.org/10.71846/18-wcee-2656,SEISMIC VULNERABILTY OF MASONRY CHURCH FACADES,World Conference on Earthquake Engineering Proceedings,enriched_oa,1.0,1
2-s2.0-85196731286,10.52842/conf.caadria.2024.3.121,https://doi.org/10.52842/conf.caadria.2024.3.121,"3D PRINTING SELF-SHADING WALL STRUCTURE WITH EARTH: Enhancing thermal properties in Earthen Architecture through Computational tool path design, inspired by nature & vernacular architecture",Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia,enriched_oa,0.958,0
2-s2.0-85196720354,10.52842/conf.caadria.2024.3.253,https://doi.org/10.52842/conf.caadria.2024.3.253,A METHOD FOR DESIGNING A BREATHING MODULAR WALL,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia,enriched_oa,1.0,0
2-s2.0-85191187291,10.63044/s23hum57,https://doi.org/10.63044/s23hum57,The Impact of Thermally Adaptive Light Louvers Attached to Clerestories on Indoor Natural-Light Performance during the Winter Season,ASHRAE Transactions,enriched_oa,1.0,1
2-s2.0-85191183630,10.63044/s23alm58,https://doi.org/10.63044/s23alm58,Improving the Performance of Thin-Film BIPV Using Thermally-Adaptive Composite Materials,ASHRAE Transactions,enriched_oa,1.0,1
2-s2.0-85169924526,10.26868/25746308.2022.simbuild2022_c032,https://doi.org/10.26868/25746308.2022.simbuild2022_c032,"Modeling, Simulation and Evaluation of a Double-Sided Hydronic Layer Embedded Opaque Climate-Adaptive Building Envelope",ASHRAE and Ibpsa Usa Building Simulation Conference,enriched_oa,1.0,0
2-s2.0-85146934745,10.23919/annsim55834.2022.9859413,https://doi.org/10.23919/annsim55834.2022.9859413,PREDICTING COOLING ENERGY DEMANDS OF ADAPTIVE FACADES USING ARTIFICIAL NEURAL NETWORK,Simulation Series,enriched_oa,1.0,0
2-s2.0-85142865625,10.2749/nanjing.2022.1046,https://doi.org/10.2749/nanjing.2022.1046,Moveable Facade Elements for Sustainable High-rise Buildings,IABSE Congress Nanjing 2022 Bridges and Structures Connection Integration and Harmonisation Report,enriched_oa,1.0,0
2-s2.0-85169884090,10.26868/25746308.2022.simbuild2022_c026,https://doi.org/10.26868/25746308.2022.simbuild2022_c026,Evaluating the Impacts of Weather Forecast Inaccuracy on Performance of Model Predictive Control for Dynamic Facades,ASHRAE and Ibpsa Usa Building Simulation Conference,enriched_oa,1.0,0
2-s2.0-85176505484,10.13124/9788860461919_06,https://doi.org/10.13124/9788860461919_06,Implementation and Calibration of a Model to Treat Naturally Ventilated Complex Fenestration Systems in TRNSYS,Building Simulation Applications,enriched_oa,1.0,1
2-s2.0-85139770436,10.52842/conf.ecaade.2022.1.243,https://doi.org/10.52842/conf.ecaade.2022.1.243,Kinetic Architecture and BIM Integration: A case study on a Bricard linkage canopy system,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,enriched_oa,1.0,0
2-s2.0-85139777874,10.52842/conf.ecaade.2022.1.253,https://doi.org/10.52842/conf.ecaade.2022.1.253,Comprehensive Characterization of an Open Source Approach to Design in Architectural Education.: The integration of the “Do It Yourself” process in architectural design education,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,enriched_oa,1.0,0
2-s2.0-85136643589,10.18280/ijdne.160601,https://doi.org/10.18280/ijdne.160601,Adjustable Internal Shading for Home Office Daylighting in Tropical Climates,International Journal of Design and Nature and Ecodynamics,enriched_oa,1.0,0
2-s2.0-85129265183,10.23967/membranes.2021.020,https://doi.org/10.23967/membranes.2021.020,SWITCHING TRANSFORMATION FOR SOFT PNEUMATIC ADAPTIVE SHADING,Structural Membranes 2021 10th International Conference on Textile Composites and Inflatable Structures,enriched_oa,1.0,0
